highway,date,time,AVG_trff,AVG_spd_avg
평택화성선,20240101,0,313.018,99.184
평택화성선,20240101,1,323.536,103.563
평택화성선,20240101,2,226.696,102.029
평택화성선,20240101,3,163.714,101.63
평택화성선,20240101,4,174.411,99.94
